week_ending,hb,hbqf,age_group,age_group_qf,sex,sex_qf,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation,wk_ending_yr_month,wk_ending_month,wk_ending_year,year_quarter,total_admissions_per_month_age,admissions_2018_19_per_month_age,total_admissions_per_quarter_age,admissions_2018_19_per_quarter_age,total_admissions_per_month_sex,admissions_2018_19_per_month_sex,total_admissions_per_quarter_sex,admissions_2018_19_per_quarter_sex
2020-01-05,S08000015,NA,Under 5,NA,All,d,Emergency,NA,87,86.5,0.6,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,5 - 14,NA,All,d,Emergency,NA,26,32.5,-20,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,15 - 44,NA,All,d,Emergency,NA,170,187.5,-9.3,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,45 - 64,NA,All,d,Emergency,NA,235,246,-4.5,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,65 - 74,NA,All,d,Emergency,NA,173,185.5,-6.7,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,75 - 84,NA,All,d,Emergency,NA,158,173.5,-8.9,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,85 and over,NA,All,d,Emergency,NA,105,124.5,-15.7,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,All ages,d,All,d,Emergency,NA,954,1036,-7.9,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,All ages,d,Female,NA,Emergency,NA,472,520.5,-9.3,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000015,NA,All ages,d,Male,NA,Emergency,NA,473,508.5,-7,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000016,NA,Under 5,NA,All,d,Emergency,NA,25,28.5,-12.3,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000016,NA,15 - 44,NA,All,d,Emergency,NA,27,32,-15.6,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000016,NA,45 - 64,NA,All,d,Emergency,NA,43,48.5,-11.3,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000016,NA,65 - 74,NA,All,d,Emergency,NA,53,39.5,34.2,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000016,NA,75 - 84,NA,All,d,Emergency,NA,56,51,9.8,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000016,NA,85 and over,NA,All,d,Emergency,NA,47,36,30.6,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000016,NA,All ages,d,All,d,Emergency,NA,253,242.5,4.3,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000016,NA,All ages,d,Female,NA,Emergency,NA,126,119,5.9,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000016,NA,All ages,d,Male,NA,Emergency,NA,122,121,0.8,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000017,NA,Under 5,NA,All,d,Emergency,NA,25,33.5,-25.4,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,5 - 14,NA,All,d,Emergency,NA,7,11,-36.4,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,15 - 44,NA,All,d,Emergency,NA,59,67,-11.9,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,45 - 64,NA,All,d,Emergency,NA,78,63,23.8,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,65 - 74,NA,All,d,Emergency,NA,57,62,-8.1,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,75 - 84,NA,All,d,Emergency,NA,68,67,1.5,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,85 and over,NA,All,d,Emergency,NA,49,47,4.3,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,All ages,d,All,d,Emergency,NA,343,350.5,-2.1,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,All ages,d,Female,NA,Emergency,NA,171,172,-0.6,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000017,NA,All ages,d,Male,NA,Emergency,NA,169,175,-3.4,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000019,NA,Under 5,NA,All,d,Emergency,NA,32,115,-72.2,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,5 - 14,NA,All,d,Emergency,NA,16,41,-61,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,15 - 44,NA,All,d,Emergency,NA,110,212,-48.1,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,45 - 64,NA,All,d,Emergency,NA,156,269,-42,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,65 - 74,NA,All,d,Emergency,NA,81,199.5,-59.4,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,75 - 84,NA,All,d,Emergency,NA,134,255.5,-47.6,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,85 and over,NA,All,d,Emergency,NA,70,152.5,-54.1,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,All ages,d,All,d,Emergency,NA,599,1244.5,-51.9,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,All ages,d,Female,NA,Emergency,NA,299,614,-51.3,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000019,NA,All ages,d,Male,NA,Emergency,NA,295,616,-52.1,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000020,NA,Under 5,NA,All,d,Emergency,NA,107,71.5,49.7,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000020,NA,5 - 14,NA,All,d,Emergency,NA,47,28,67.9,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S08000020,NA,15 - 44,NA,All,d,Emergency,NA,177,154,14.9,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000020,NA,45 - 64,NA,All,d,Emergency,NA,226,206,9.7,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000020,NA,65 - 74,NA,All,d,Emergency,NA,164,153.5,6.8,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000020,NA,75 - 84,NA,All,d,Emergency,NA,183,186,-1.6,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000020,NA,85 and over,NA,All,d,Emergency,NA,138,129.5,6.6,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000020,NA,All ages,d,All,d,Emergency,NA,1042,928.5,12.2,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000020,NA,All ages,d,Female,NA,Emergency,NA,493,449.5,9.7,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000020,NA,All ages,d,Male,NA,Emergency,NA,538,460.5,16.8,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000022,NA,Under 5,NA,All,d,Emergency,NA,50,46.5,7.5,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000022,NA,5 - 14,NA,All,d,Emergency,NA,21,12.5,68,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S08000022,NA,15 - 44,NA,All,d,Emergency,NA,115,114.5,0.4,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000022,NA,45 - 64,NA,All,d,Emergency,NA,150,141,6.4,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000022,NA,65 - 74,NA,All,d,Emergency,NA,115,107.5,7,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000022,NA,75 - 84,NA,All,d,Emergency,NA,124,105.5,17.5,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000022,NA,85 and over,NA,All,d,Emergency,NA,74,75.5,-2,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000022,NA,All ages,d,All,d,Emergency,NA,649,603,7.6,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000022,NA,All ages,d,Female,NA,Emergency,NA,320,304,5.3,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000022,NA,All ages,d,Male,NA,Emergency,NA,307,285,7.7,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000024,NA,Under 5,NA,All,d,Emergency,NA,143,108.5,31.8,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000024,NA,5 - 14,NA,All,d,Emergency,NA,49,44,11.4,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S08000024,NA,15 - 44,NA,All,d,Emergency,NA,422,323.5,30.4,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000024,NA,45 - 64,NA,All,d,Emergency,NA,437,339,28.9,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000024,NA,65 - 74,NA,All,d,Emergency,NA,285,259,10,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000024,NA,75 - 84,NA,All,d,Emergency,NA,324,305.5,6.1,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000024,NA,85 and over,NA,All,d,Emergency,NA,231,218.5,5.7,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000024,NA,All ages,d,All,d,Emergency,NA,1891,1598,18.3,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000024,NA,All ages,d,Female,NA,Emergency,NA,939,777,20.8,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000024,NA,All ages,d,Male,NA,Emergency,NA,903,781.5,15.5,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000025,NA,15 - 44,NA,All,d,Emergency,NA,6,5,20,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000025,NA,45 - 64,NA,All,d,Emergency,NA,6,2,200,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000025,NA,65 - 74,NA,All,d,Emergency,NA,8,6,33.3,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000025,NA,75 - 84,NA,All,d,Emergency,NA,9,10.5,-14.3,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000025,NA,85 and over,NA,All,d,Emergency,NA,5,4.5,11.1,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000025,NA,All ages,d,All,d,Emergency,NA,35,31,12.9,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000025,NA,All ages,d,Female,NA,Emergency,NA,12,15.5,-22.6,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000025,NA,All ages,d,Male,NA,Emergency,NA,22,15.5,41.9,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000026,NA,15 - 44,NA,All,d,Emergency,NA,5,8,-37.5,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000026,NA,45 - 64,NA,All,d,Emergency,NA,6,13,-53.8,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000026,NA,75 - 84,NA,All,d,Emergency,NA,8,7,14.3,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000026,NA,All ages,d,All,d,Emergency,NA,25,37,-32.4,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000026,NA,All ages,d,Female,NA,Emergency,NA,14,17.5,-20,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000026,NA,All ages,d,Male,NA,Emergency,NA,11,16.5,-33.3,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000028,NA,15 - 44,NA,All,d,Emergency,NA,11,9.5,15.8,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000028,NA,45 - 64,NA,All,d,Emergency,NA,10,17,-41.2,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000028,NA,65 - 74,NA,All,d,Emergency,NA,12,17,-29.4,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000028,NA,75 - 84,NA,All,d,Emergency,NA,11,14.5,-24.1,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000028,NA,85 and over,NA,All,d,Emergency,NA,12,13.5,-11.1,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000028,NA,All ages,d,All,d,Emergency,NA,58,74.5,-22.1,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000028,NA,All ages,d,Female,NA,Emergency,NA,26,39,-33.3,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000028,NA,All ages,d,Male,NA,Emergency,NA,30,34.5,-13,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000029,NA,Under 5,NA,All,d,Emergency,NA,70,74,-5.4,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000029,NA,5 - 14,NA,All,d,Emergency,NA,21,20.5,2.4,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S08000029,NA,15 - 44,NA,All,d,Emergency,NA,170,164.5,3.3,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000029,NA,45 - 64,NA,All,d,Emergency,NA,175,191,-8.4,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000029,NA,65 - 74,NA,All,d,Emergency,NA,153,141.5,8.1,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000029,NA,75 - 84,NA,All,d,Emergency,NA,163,146.5,11.3,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000029,NA,85 and over,NA,All,d,Emergency,NA,111,105.5,5.2,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000029,NA,All ages,d,All,d,Emergency,NA,863,843.5,2.3,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000029,NA,All ages,d,Female,NA,Emergency,NA,421,407.5,3.3,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000029,NA,All ages,d,Male,NA,Emergency,NA,435,431,0.9,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000030,NA,Under 5,NA,All,d,Emergency,NA,65,96.5,-32.6,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000030,NA,5 - 14,NA,All,d,Emergency,NA,28,37,-24.3,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S08000030,NA,15 - 44,NA,All,d,Emergency,NA,183,178,2.8,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000030,NA,45 - 64,NA,All,d,Emergency,NA,196,214.5,-8.6,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000030,NA,65 - 74,NA,All,d,Emergency,NA,151,174.5,-13.5,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000030,NA,75 - 84,NA,All,d,Emergency,NA,200,214,-6.5,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000030,NA,85 and over,NA,All,d,Emergency,NA,154,165,-6.7,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000030,NA,All ages,d,All,d,Emergency,NA,977,1079.5,-9.5,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000030,NA,All ages,d,Female,NA,Emergency,NA,489,558.5,-12.4,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000030,NA,All ages,d,Male,NA,Emergency,NA,476,519.5,-8.4,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000031,NA,Under 5,NA,All,d,Emergency,NA,187,201.5,-7.2,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000031,NA,5 - 14,NA,All,d,Emergency,NA,80,73,9.6,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S08000031,NA,15 - 44,NA,All,d,Emergency,NA,588,487,20.7,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000031,NA,45 - 64,NA,All,d,Emergency,NA,698,664,5.1,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000031,NA,65 - 74,NA,All,d,Emergency,NA,419,454.5,-7.8,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000031,NA,75 - 84,NA,All,d,Emergency,NA,486,533.5,-8.9,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000031,NA,85 and over,NA,All,d,Emergency,NA,331,357.5,-7.4,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000031,NA,All ages,d,All,d,Emergency,NA,2789,2771,0.6,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000031,NA,All ages,d,Female,NA,Emergency,NA,1375,1384,-0.7,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000031,NA,All ages,d,Male,NA,Emergency,NA,1374,1356,1.3,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000032,NA,Under 5,NA,All,d,Emergency,NA,86,100.5,-14.4,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000032,NA,5 - 14,NA,All,d,Emergency,NA,44,31.5,39.7,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S08000032,NA,15 - 44,NA,All,d,Emergency,NA,280,292.5,-4.3,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000032,NA,45 - 64,NA,All,d,Emergency,NA,373,386,-3.4,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000032,NA,65 - 74,NA,All,d,Emergency,NA,304,256.5,18.5,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000032,NA,75 - 84,NA,All,d,Emergency,NA,276,293,-5.8,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000032,NA,85 and over,NA,All,d,Emergency,NA,152,144.5,5.2,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000032,NA,All ages,d,All,d,Emergency,NA,1515,1504.5,0.7,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000032,NA,All ages,d,Female,NA,Emergency,NA,728,747,-2.5,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000032,NA,All ages,d,Male,NA,Emergency,NA,781,745,4.8,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S92000003,d,Under 5,NA,All,d,Emergency,NA,881,966.5,-8.8,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S92000003,d,5 - 14,NA,All,d,Emergency,NA,343,342.5,0.1,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S92000003,d,15 - 44,NA,All,d,Emergency,NA,2323,2235,3.9,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S92000003,d,45 - 64,NA,All,d,Emergency,NA,2789,2800,-0.4,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S92000003,d,65 - 74,NA,All,d,Emergency,NA,1977,2060,-4,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S92000003,d,75 - 84,NA,All,d,Emergency,NA,2200,2363,-6.9,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S92000003,d,85 and over,NA,All,d,Emergency,NA,1480,1577,-6.2,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S92000003,d,All ages,d,All,d,Emergency,NA,11993,12344,-2.8,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S92000003,d,All ages,d,Female,NA,Emergency,NA,5885,6125,-3.9,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S92000003,d,All ages,d,Male,NA,Emergency,NA,5936,6065.5,-2.1,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-12,S08000015,NA,Under 5,NA,All,d,Emergency,NA,74,92.5,-20,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-12,S08000015,NA,5 - 14,NA,All,d,Emergency,NA,40,38,5.3,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-12,S08000015,NA,15 - 44,NA,All,d,Emergency,NA,182,191,-4.7,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-12,S08000015,NA,45 - 64,NA,All,d,Emergency,NA,255,281,-9.3,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-12,S08000015,NA,65 - 74,NA,All,d,Emergency,NA,165,184.5,-10.6,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-12,S08000015,NA,75 - 84,NA,All,d,Emergency,NA,157,188,-16.5,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-12,S08000015,NA,85 and over,NA,All,d,Emergency,NA,128,95.5,34,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-12,S08000015,NA,All ages,d,All,d,Emergency,NA,1001,1070.5,-6.5,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-12,S08000015,NA,All ages,d,Female,NA,Emergency,NA,487,534,-8.8,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-12,S08000015,NA,All ages,d,Male,NA,Emergency,NA,512,534.5,-4.2,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-12,S08000016,NA,Under 5,NA,All,d,Emergency,NA,15,20.5,-26.8,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-12,S08000016,NA,5 - 14,NA,All,d,Emergency,NA,6,10.5,-42.9,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-12,S08000016,NA,15 - 44,NA,All,d,Emergency,NA,25,27,-7.4,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-12,S08000016,NA,45 - 64,NA,All,d,Emergency,NA,40,45,-11.1,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-12,S08000016,NA,65 - 74,NA,All,d,Emergency,NA,37,45,-17.8,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-12,S08000016,NA,75 - 84,NA,All,d,Emergency,NA,60,58.5,2.6,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
