year_quarter,region,attendances
2018Q3,NHS Orkney,594.6666666666666
2018Q3,NHS Shetland,626.3333333333334
2018Q3,NHS Tayside,3305.1666666666665
2018Q3,NHS Western Isles,596.6666666666666
2018Q4,NHS Ayrshire & Arran,4625.5
2018Q4,NHS Borders,2545
2018Q4,NHS Dumfries & Galloway,1882.3333333333333
2018Q4,NHS Fife,5514
2018Q4,NHS Forth Valley,5348.333333333333
2018Q4,NHS Grampian,2727.8888888888887
2018Q4,NHS Greater Glasgow & Clyde,6556.555555555556
2018Q4,NHS Highland,1202.3333333333333
2018Q4,NHS Lanarkshire,5690.222222222223
2018Q4,NHS Lothian,6484.555555555556
2018Q4,NHS Orkney,516
2018Q4,NHS Shetland,661.3333333333334
2018Q4,NHS Tayside,3028.3333333333335
2018Q4,NHS Western Isles,515.6666666666666
2019Q1,NHS Ayrshire & Arran,4592.166666666667
2019Q1,NHS Borders,2483.3333333333335
2019Q1,NHS Dumfries & Galloway,1846.5
2019Q1,NHS Fife,5487.333333333333
2019Q1,NHS Forth Valley,5316.333333333333
2019Q1,NHS Grampian,2794.222222222222
2019Q1,NHS Greater Glasgow & Clyde,6522.666666666667
2019Q1,NHS Highland,1198.9166666666667
2019Q1,NHS Lanarkshire,5811.444444444444
2019Q1,NHS Lothian,6415.111111111111
2019Q1,NHS Orkney,524
2019Q1,NHS Shetland,636.3333333333334
2019Q1,NHS Tayside,3094.6666666666665
2019Q1,NHS Western Isles,517
2019Q2,NHS Ayrshire & Arran,4991
2019Q2,NHS Borders,2806
2019Q2,NHS Dumfries & Galloway,2103
2019Q2,NHS Fife,5866.333333333333
2019Q2,NHS Forth Valley,5888
2019Q2,NHS Grampian,2963.5555555555557
2019Q2,NHS Greater Glasgow & Clyde,6734.611111111111
2019Q2,NHS Highland,1430
2019Q2,NHS Lanarkshire,6101.777777777777
2019Q2,NHS Lothian,6643.111111111111
2019Q2,NHS Orkney,583
2019Q2,NHS Shetland,677.6666666666666
2019Q2,NHS Tayside,3347.6666666666665
2019Q2,NHS Western Isles,611
2019Q3,NHS Ayrshire & Arran,4900.166666666667
2019Q3,NHS Borders,2851.3333333333335
2019Q3,NHS Dumfries & Galloway,2224.1666666666665
2019Q3,NHS Fife,6011.333333333333
2019Q3,NHS Forth Valley,5885
2019Q3,NHS Grampian,3080.1111111111113
2019Q3,NHS Greater Glasgow & Clyde,6813.055555555556
2019Q3,NHS Highland,1504.8333333333333
2019Q3,NHS Lanarkshire,6153.777777777777
2019Q3,NHS Lothian,6824.222222222223
2019Q3,NHS Orkney,647.3333333333334
2019Q3,NHS Shetland,697.3333333333334
2019Q3,NHS Tayside,3535.5
2019Q3,NHS Western Isles,647.6666666666666
2019Q4,NHS Ayrshire & Arran,4651.833333333333
2019Q4,NHS Borders,2698.6666666666665
2019Q4,NHS Dumfries & Galloway,2060.1666666666665
2019Q4,NHS Fife,5755.666666666667
2019Q4,NHS Forth Valley,5628
2019Q4,NHS Grampian,3012.6666666666665
2019Q4,NHS Greater Glasgow & Clyde,6730.555555555556
2019Q4,NHS Highland,1272.25
2019Q4,NHS Lanarkshire,5927.888888888889
2019Q4,NHS Lothian,6781.777777777777
2019Q4,NHS Orkney,569.6666666666666
2019Q4,NHS Shetland,596
2019Q4,NHS Tayside,3175.1666666666665
2019Q4,NHS Western Isles,570.6666666666666
2020Q1,NHS Ayrshire & Arran,3955
2020Q1,NHS Borders,2284
2020Q1,NHS Dumfries & Galloway,1752.5
2020Q1,NHS Fife,5056
2020Q1,NHS Forth Valley,4902.666666666667
2020Q1,NHS Grampian,2629
2020Q1,NHS Greater Glasgow & Clyde,5601.055555555556
2020Q1,NHS Highland,1095.6666666666667
2020Q1,NHS Lanarkshire,5114.777777777777
2020Q1,NHS Lothian,5845.222222222223
2020Q1,NHS Orkney,520.6666666666666
2020Q1,NHS Shetland,543
2020Q1,NHS Tayside,2795.8333333333335
2020Q1,NHS Western Isles,452.3333333333333
2020Q2,NHS Ayrshire & Arran,3373.6666666666665
2020Q2,NHS Borders,1852.3333333333333
2020Q2,NHS Dumfries & Galloway,1333.1666666666667
2020Q2,NHS Fife,3563.3333333333335
2020Q2,NHS Forth Valley,3233.3333333333335
2020Q2,NHS Grampian,1755.3333333333333
2020Q2,NHS Greater Glasgow & Clyde,3877.1111111111113
2020Q2,NHS Highland,781.1666666666666
2020Q2,NHS Lanarkshire,4163.777777777777
2020Q2,NHS Lothian,4288.111111111111
2020Q2,NHS Orkney,330.6666666666667
2020Q2,NHS Shetland,397.6666666666667
2020Q2,NHS Tayside,2117.3333333333335
